Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1022     0.00     0.00  char const& std::forward<char const&>(std::remove_reference<char const&>::type&)
  0.00      0.00     0.00      584     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_Node_allocator()
  0.00      0.00     0.00      517     0.00     0.00  std::_Identity<char>::operator()(char const&) const
  0.00      0.00     0.00      443     0.00     0.00  std::_Rb_tree_iterator<char>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      317     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_end()
  0.00      0.00     0.00      293     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      292     0.00     0.00  __gnu_cxx::__aligned_membuf<char>::_M_ptr()
  0.00      0.00     0.00      292     0.00     0.00  __gnu_cxx::__aligned_membuf<char>::_M_addr()
  0.00      0.00     0.00      292     0.00     0.00  std::_Rb_tree_node<char>::_M_valptr()
  0.00      0.00     0.00      266     0.00     0.00  __gnu_cxx::__aligned_membuf<char>::_M_ptr() const
  0.00      0.00     0.00      266     0.00     0.00  __gnu_cxx::__aligned_membuf<char>::_M_addr() const
  0.00      0.00     0.00      266     0.00     0.00  std::_Rb_tree_node<char>::_M_valptr() const
  0.00      0.00     0.00      266     0.00     0.00  std::less<char>::operator()(char const&, char const&) const
  0.00      0.00     0.00      266     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node<char> const*)
  0.00      0.00     0.00      237     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_mbegin() const
  0.00      0.00     0.00      237     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_begin()
  0.00      0.00     0.00      218     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      189     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      171     0.00     0.00  std::_Rb_tree_const_iterator<char>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<char> const&)
  0.00      0.00     0.00      171     0.00     0.00  std::set<char, std::less<char>, std::allocator<char> >::insert(char const&)
  0.00      0.00     0.00      171     0.00     0.00  std::pair<std::_Rb_tree_iterator<char>, bool>::pair<std::_Rb_tree_iterator<char>, bool, true>(std::_Rb_tree_iterator<char>&&, bool&&)
  0.00      0.00     0.00      171     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<char>, bool>::pair<std::_Rb_tree_iterator<char>&, bool&, true>(std::_Rb_tree_iterator<char>&, bool&)
  0.00      0.00     0.00      171     0.00     0.00  std::pair<std::_Rb_tree_iterator<char>, bool> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_unique<char const&>(char const&)
  0.00      0.00     0.00      171     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_insert_unique_pos(char const&)
  0.00      0.00     0.00      171     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.00     0.00      171     0.00     0.00  std::_Rb_tree_iterator<char>& std::forward<std::_Rb_tree_iterator<char>&>(std::remove_reference<std::_Rb_tree_iterator<char>&>::type&)
  0.00      0.00     0.00      171     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      0.00     0.00      171     0.00     0.00  std::_Rb_tree_iterator<char>&& std::forward<std::_Rb_tree_iterator<char> >(std::remove_reference<std::_Rb_tree_iterator<char> >::type&)
  0.00      0.00     0.00      171     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.00     0.00      151     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      146     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::deallocate(std::_Rb_tree_node<char>*, unsigned long)
  0.00      0.00     0.00      146     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::destroy<char>(char*)
  0.00      0.00     0.00      146     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00      146     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::construct<char, char const&>(char*, char const&)
  0.00      0.00     0.00      146     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::_M_max_size() const
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree_node<char>* std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node::operator()<char const&>(char const&) const
  0.00      0.00     0.00      146     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<char> > >::deallocate(std::allocator<std::_Rb_tree_node<char> >&, std::_Rb_tree_node<char>*, unsigned long)
  0.00      0.00     0.00      146     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<char> > >::destroy<char>(std::allocator<std::_Rb_tree_node<char> >&, char*)
  0.00      0.00     0.00      146     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<char> > >::allocate(std::allocator<std::_Rb_tree_node<char> >&, unsigned long)
  0.00      0.00     0.00      146     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<char> > >::construct<char, char const&>(std::allocator<std::_Rb_tree_node<char> >&, char*, char const&)
  0.00      0.00     0.00      146     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<char>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<char>*&, std::_Rb_tree_node_base*&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node::_Alloc_node(std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_node()
